,GDTCR,GDTCR_sample,GEX file
0,WSSS_F_Imm10424040,F41_LI_45P_GDTCR,FCAImmP7555856
1,WSSS_F_Imm10424041,F41_SK_45P_GDTCR,FCAImmP7555858
2,WSSS_F_Imm10424042,F41_TH_45P_GDTCR,FCAImmP7555860
3,WSSS_F_Imm10424043,F41_BM_45P_GDTCR,FCAImmP7555862
4,WSSS_F_Imm10424044,F45_LI_45P_GDTCR,FCAImmP7579226
5,WSSS_F_Imm10424045,F45_SP_45P_GDTCR,FCAImmP7579228
6,WSSS_F_Imm10424046,F45_TH_45P_GDTCR,FCAImmP7579230
7,WSSS_F_Imm10424047,F45_BM_45P_GDTCR,FCAImmP7579232
8,WSSS_F_Imm10424048,F29_BM_45P_GDTCR,FCAImmP7292031
9,WSSS_F_Imm10424049,F29_SP_45P_GDTCR,FCAImmP7292029
10,WSSS_F_Imm10424050,F29_TH_45P_GDTCR,FCAImmP7292030
11,WSSS_F_Imm10424051,F51_SK_45P_GDTCR_1,FCAImmP7803034
12,WSSS_F_Imm10424052,F51_SP_45P_GDTCR_2,FCAImmP7803037
13,WSSS_F_Imm10424053,F51_BM_45P_GDTCR_1,FCAImmP7803028
14,WSSS_F_Imm10424054,F61_LI_45P_GDTCR_1,FCAImmP7862084
15,WSSS_F_Imm10424055,F71_SK_45P_GDTCR_1,FCAImmP7964506
16,WSSS_F_Imm10424056,F29_LI_45P_GDTCR,FCAImmP7292028
17,WSSS_F_Imm10424057,F41_KI_45P_GDTCR,FCAImmP7555859
18,WSSS_F_Imm10424058,F45_SK_45P_GDTCR,FCAImmP7579224
19,WSSS_F_Imm10424059,F50_BM_45P_GDTCR_2,FCAImmP7803017
20,WSSS_F_Imm10424060,F50_SP_45P_GDTCR_2,FCAImmP7803021
21,WSSS_F_Imm10424061,F50_SK_45P_GDTCR_2,FCAImmP7803025
22,WSSS_F_Imm10424062,F61_YS_45P_GDTCR_1,FCAImmP7862088
23,WSSS_F_Imm11279975,F41-THY-gdTCR,FCAImmP7555861
24,WSSS_F_Imm11279976,F45-THY-gdTCR,FCAImmP7579231
25,WSSS_F_Imm12128717,F72-FSI-0-SC-1,Human_colon_16S8159182
26,WSSS_F_Imm12128718,F72-FSI-0-SC-2,Human_colon_16S8159183
27,WSSS_F_Imm12128719,F72-FSI-0-SC-3,Human_colon_16S8159184
28,WSSS_F_Imm12128720,F72-FLI-0-SC-1,Human_colon_16S8159185
29,WSSS_F_Imm12128721,F72-MLN-0-SC-1,Human_colon_16S8159186
30,WSSS_F_Imm12128722,F73 PROX --> 6,Human_colon_16S8159187
31,WSSS_F_Imm12128723,F73 MID --> 7,Human_colon_16S8159188
32,WSSS_F_Imm12128724,F73 TER -->8,Human_colon_16S8159189
33,WSSS_F_Imm12128725,F73 CO -->9,Human_colon_16S8159190